Position,Title,Title Type,Runtime,Year,Genres,Directors
232,Lady Windermere's Fan,movie,120,1925,Comedy,Ernst Lubitsch
233,Lassie Come Home,movie,89,1943,"Adventure, Drama, Family",Fred M. Wilcox
234,The Last Command,movie,88,1928,"Drama, History, Romance, War",Josef von Sternberg
235,The Last of the Mohicans,movie,73,1920,"Action, Adventure, Drama, Romance, War","Clarence Brown, Maurice Tourneur"
236,The Last Picture Show,movie,118,1971,"Drama, Romance",Peter Bogdanovich
237,Laura,movie,88,1944,"Drama, Film-Noir, Mystery",Otto Preminger
238,Lawrence of Arabia,movie,218,1962,"Adventure, Biography, Drama, War",David Lean
239,A League of Their Own,movie,128,1992,"Comedy, Drama, Sport",Penny Marshall
240,The Learning Tree,movie,107,1969,Drama,Gordon Parks
241,Letter from an Unknown Woman,movie,87,1948,"Drama, Romance",Max Ophüls
242,The Life of Emile Zola,movie,116,1937,"Biography, Drama",William Dieterle
243,Little Big Man,movie,139,1970,"Adventure, Comedy, Drama, Western",Arthur Penn
244,Little Caesar,movie,79,1931,"Action, Crime, Drama, Romance",Mervyn LeRoy
245,Little Fugitive,movie,75,1953,"Drama, Family","Morris Engel, Ray Ashley, Ruth Orkin"
246,Little Miss Marker,movie,80,1934,"Adventure, Comedy, Drama, Family, Music",Alexander Hall
247,Lonesome,movie,69,1928,"Comedy, Drama, Romance",Pál Fejös
248,Lost Horizon,movie,132,1937,"Adventure, Drama, Fantasy, Mystery",Frank Capra
249,The Lost Weekend,movie,101,1945,"Drama, Film-Noir",Billy Wilder
250,The Lost World,movie,110,1925,"Adventure, Fantasy, Sci-Fi, Thriller",Harry O. Hoyt
251,Louisiana Story,movie,78,1948,"Adventure, Drama",Robert J. Flaherty
252,Love Finds Andy Hardy,movie,91,1938,"Comedy, Romance",George B. Seitz
253,Love Me Tonight,movie,104,1932,"Comedy, Musical, Romance",Rouben Mamoulian
254,The Magnificent Ambersons,movie,88,1942,"Drama, Romance","Robert Wise, Fred Fleck, Orson Welles"
255,The Magnificent Seven,movie,128,1960,"Action, Adventure, Western",John Sturges
256,Make Way for Tomorrow,movie,91,1937,"Drama, Romance",Leo McCarey
257,Malcolm X,movie,202,1992,"Biography, Drama, History",Spike Lee
258,The Maltese Falcon,movie,100,1941,"Crime, Film-Noir, Mystery, Romance",John Huston
259,The Man Who Shot Liberty Valance,movie,123,1962,"Drama, Western",John Ford
260,The Manchurian Candidate,movie,126,1962,"Drama, Thriller",John Frankenheimer
261,Manhattan,movie,96,1979,"Comedy, Drama, Romance",Woody Allen
262,The Mark of Zorro,movie,79,1920,"Adventure, Romance, Western",Fred Niblo
263,The Mark of Zorro,movie,94,1940,"Action, Adventure, Family, Romance, Western",Rouben Mamoulian
264,Marty,movie,90,1955,"Drama, Romance",Delbert Mann
265,Mary Poppins,movie,139,1964,"Comedy, Family, Fantasy, Musical",Robert Stevenson
266,M*A*S*H,movie,116,1970,"Comedy, Drama, War",Robert Altman
267,The Matrix,movie,136,1999,"Action, Sci-Fi","Lilly Wachowski, Lana Wachowski"
268,McCabe & Mrs. Miller,movie,120,1971,"Drama, Western",Robert Altman
269,Mean Streets,movie,112,1973,"Crime, Drama, Thriller",Martin Scorsese
270,Medium Cool,movie,111,1969,Drama,Haskell Wexler
271,Meet Me in St. Louis,movie,113,1944,"Comedy, Drama, Family, Musical, Romance",Vincente Minnelli
272,Melody Ranch,movie,84,1940,Western,Joseph Santley
273,Midnight,movie,94,1939,"Comedy, Romance",Mitchell Leisen
274,Midnight Cowboy,movie,113,1969,Drama,John Schlesinger
275,Mildred Pierce,movie,111,1945,"Crime, Drama, Film-Noir, Mystery, Romance",Michael Curtiz
276,The Miracle of Morgan's Creek,movie,98,1944,"Comedy, Romance, War",Preston Sturges
277,Miracle on 34th Street,movie,96,1947,"Comedy, Drama, Family",George Seaton
278,Miss Lulu Bett,movie,71,1921,"Comedy, Drama",William C. de Mille
279,Modern Times,movie,87,1936,"Comedy, Drama, Romance",Charles Chaplin
280,Mom and Dad,movie,97,1945,Drama,William Beaudine
281,Morocco,movie,92,1930,"Drama, Romance",Josef von Sternberg
282,Mr. Smith Goes to Washington,movie,129,1939,"Comedy, Drama",Frank Capra
283,Mrs. Miniver,movie,134,1942,"Drama, Romance, War",William Wyler
284,The Muppet Movie,movie,95,1979,"Adventure, Comedy, Family, Musical",James Frawley
285,The Music Man,movie,151,1962,"Comedy, Family, Musical, Romance",Morton DaCosta
286,My Darling Clementine,movie,97,1946,"Drama, Romance, Western",John Ford
287,My Man Godfrey,movie,94,1936,"Comedy, Drama, Romance",Gregory La Cava
288,The Naked City,movie,96,1948,"Crime, Drama, Film-Noir, Mystery, Thriller",Jules Dassin
289,The Naked Spur,movie,91,1953,"Drama, Thriller, Western",Anthony Mann
290,Nashville,movie,160,1975,"Comedy, Drama, Music",Robert Altman
291,National Lampoon's Animal House,movie,109,1978,Comedy,John Landis
292,National Velvet,movie,123,1944,"Drama, Family, Sport",Clarence Brown
293,Naughty Marietta,movie,105,1935,"Drama, Musical, Romance","W.S. Van Dyke, Robert Z. Leonard"
294,Network,movie,121,1976,Drama,Sidney Lumet
295,A Night at the Opera,movie,96,1935,"Comedy, Music, Musical","Sam Wood, Edmund Goulding"
296,The Night of the Hunter,movie,92,1955,"Crime, Drama, Film-Noir, Thriller",Charles Laughton
297,Night of the Living Dead,movie,96,1968,"Horror, Thriller",George A. Romero
298,Ninotchka,movie,110,1939,"Comedy, Romance",Ernst Lubitsch
299,Norma Rae,movie,114,1979,Drama,Martin Ritt
300,North by Northwest,movie,136,1959,"Action, Adventure, Mystery, Thriller",Alfred Hitchcock
301,Nothing But a Man,movie,95,1964,"Drama, Romance",Michael Roemer
302,Notorious,movie,102,1946,"Drama, Film-Noir, Romance, Thriller",Alfred Hitchcock
303,"Now, Voyager",movie,117,1942,"Drama, Romance",Irving Rapper
304,Oklahoma!,movie,145,1955,"Comedy, Drama, Musical, Romance, Western",Fred Zinnemann
305,The Nutty Professor,movie,107,1963,"Comedy, Romance, Sci-Fi",Jerry Lewis
306,On the Waterfront,movie,108,1954,"Crime, Drama, Thriller",Elia Kazan
307,C'era una volta il West,movie,165,1968,Western,Sergio Leone
308,One Flew Over the Cuckoo's Nest,movie,133,1975,Drama,Milos Forman
309,Our Daily Bread,movie,80,1934,"Drama, Romance",King Vidor
310,Out of the Past,movie,97,1947,"Crime, Drama, Film-Noir, Romance, Thriller",Jacques Tourneur
311,The Outlaw Josey Wales,movie,135,1976,Western,Clint Eastwood
312,The Ox-Bow Incident,movie,75,1942,"Drama, Western",William A. Wellman
313,Paths of Glory,movie,88,1957,"Drama, War",Stanley Kubrick
314,Patton,movie,172,1970,"Biography, Drama, War",Franklin J. Schaffner
315,The Pawnbroker,movie,116,1964,Drama,Sidney Lumet
316,La perla,movie,85,1947,"Adventure, Drama, Romance",Emilio Fernández
317,Peter Pan,movie,105,1924,"Adventure, Family, Fantasy",Herbert Brenon
318,The Phantom of the Opera,movie,93,1925,Horror,"Rupert Julian, Ernst Laemmle, Lon Chaney, Edward Sedgwick"
319,The Philadelphia Story,movie,112,1940,"Comedy, Romance",George Cukor
320,Pillow Talk,movie,102,1959,"Comedy, Romance",Michael Gordon
321,The Pink Panther,movie,115,1963,"Comedy, Crime, Romance",Blake Edwards
322,A Place in the Sun,movie,122,1951,"Drama, Romance",George Stevens
323,Planet of the Apes,movie,112,1968,"Adventure, Sci-Fi",Franklin J. Schaffner
324,"Please, Don't Bury Me Alive!",movie,81,1976,"Crime, Drama",Efrain Gutierrez
325,Point Blank,movie,92,1967,"Crime, Drama, Thriller",John Boorman
326,The Poor Little Rich Girl,movie,65,1917,"Comedy, Drama, Family, Fantasy, Romance",Maurice Tourneur
327,Porgy and Bess,movie,138,1959,"Drama, Musical, Romance","Otto Preminger, Rouben Mamoulian"
328,The Power and the Glory,movie,76,1933,Drama,William K. Howard
329,The Power of the Press,movie,62,1928,Drama,Frank Capra
330,The Princess Bride,movie,98,1987,"Adventure, Family, Fantasy, Romance",Rob Reiner
331,The Prisoner of Zenda,movie,101,1937,"Adventure, Drama, Music, Romance","W.S. Van Dyke, John Cromwell"
332,The Producers,movie,88,1967,"Comedy, Music",Mel Brooks
333,Psycho,movie,109,1960,"Horror, Mystery, Thriller",Alfred Hitchcock
334,The Public Enemy,movie,83,1931,"Crime, Drama",William A. Wellman
335,Pulp Fiction,movie,154,1994,"Crime, Drama",Quentin Tarantino
336,Putney Swope,movie,84,1969,Comedy,Robert Downey Sr.
337,The Quiet Man,movie,129,1952,"Comedy, Drama, Romance",John Ford
338,Raging Bull,movie,129,1980,"Biography, Drama, Sport",Martin Scorsese
339,Raiders of the Lost Ark,movie,115,1981,"Action, Adventure",Steven Spielberg
340,A Raisin in the Sun,movie,128,1961,Drama,Daniel Petrie
341,Rear Window,movie,112,1954,"Mystery, Thriller",Alfred Hitchcock
342,Rebel Without a Cause,movie,111,1955,Drama,Nicholas Ray
343,Red Dust,movie,83,1932,"Comedy, Drama, Romance",Victor Fleming
344,Red River,movie,133,1948,"Drama, Western","Arthur Rosson, Howard Hawks"
345,The Regeneration,movie,72,1915,"Biography, Crime, Drama, Romance",Raoul Walsh
346,Return of the Secaucus Seven,movie,104,1980,Drama,John Sayles
347,The Revenge of Pancho Villa,movie,60,1932,"Biography, War","Félix Padilla, Edmundo Padilla"
348,Ride the High Country,movie,94,1962,"Drama, Western",Sam Peckinpah
349,The Right Stuff,movie,193,1983,"Adventure, Biography, Drama, History",Philip Kaufman
350,Rio Bravo,movie,141,1959,Western,Howard Hawks
351,Road to Morocco,movie,82,1942,"Adventure, Comedy, Family, Music, Romance",David Butler
352,Rocky,movie,120,1976,"Drama, Sport",John G. Avildsen
353,The Rocky Horror Picture Show,movie,100,1975,"Comedy, Horror, Musical",Jim Sharman
354,Roman Holiday,movie,118,1953,"Comedy, Romance",William Wyler
355,Rosemary's Baby,movie,137,1968,"Drama, Horror",Roman Polanski
356,Ruggles of Red Gap,movie,90,1935,"Comedy, Music, Mystery, Romance, Western",Leo McCarey
357,Rushmore,movie,93,1998,"Comedy, Drama, Romance",Wes Anderson
358,Sabrina,movie,113,1954,"Comedy, Drama, Romance",Billy Wilder
359,Safety Last!,movie,74,1923,"Action, Comedy, Thriller","Fred C. Newmeyer, Sam Taylor"
360,Salomé,movie,72,1922,"Biography, Drama, History, Horror","Charles Bryant, Alla Nazimova"
361,Salt of the Earth,movie,94,1954,"Drama, History",Herbert J. Biberman
362,Saturday Night Fever,movie,118,1977,"Drama, Music",John Badham
363,Saving Private Ryan,movie,169,1998,"Drama, War",Steven Spielberg
364,Scarface,movie,93,1932,"Action, Crime, Drama, Film-Noir, Thriller","Richard Rosson, Howard Hawks"
365,Schindler's List,movie,195,1993,"Biography, Drama, History",Steven Spielberg
366,The Searchers,movie,119,1956,"Adventure, Drama, Western",John Ford
367,Seconds,movie,106,1966,"Sci-Fi, Thriller",John Frankenheimer
368,Sergeant York,movie,134,1941,"Biography, Drama, History, Romance, War",Howard Hawks
369,Seven Brides for Seven Brothers,movie,102,1954,"Comedy, Drama, Musical, Romance, Western",Stanley Donen
370,7th Heaven,movie,110,1927,"Drama, Romance",Frank Borzage
371,"Sex, Lies, and Videotape",movie,100,1989,Drama,Steven Soderbergh
372,Shadow of a Doubt,movie,108,1943,"Film-Noir, Thriller",Alfred Hitchcock
373,Shadows,movie,81,1958,"Drama, Music, Romance",John Cassavetes
374,Shaft,movie,100,1971,"Action, Crime, Thriller",Gordon Parks
375,Shane,movie,118,1953,"Drama, Western",George Stevens
376,The Shawshank Redemption,movie,142,1994,Drama,Frank Darabont
377,She Done Him Wrong,movie,66,1933,"Comedy, Drama, History, Musical, Romance",Lowell Sherman
378,Sherlock Jr.,movie,45,1924,"Action, Comedy, Romance",Buster Keaton
379,Shock Corridor,movie,101,1963,"Drama, Mystery",Samuel Fuller
380,Shoes,movie,60,1916,Drama,Lois Weber
381,The Shop Around the Corner,movie,99,1940,"Comedy, Drama, Romance",Ernst Lubitsch
382,Show Boat,movie,113,1936,"Comedy, Drama, Music, Musical, Romance",James Whale
383,Show People,movie,83,1928,"Comedy, Romance",King Vidor
384,The Silence of the Lambs,movie,118,1991,"Crime, Drama, Thriller",Jonathan Demme
385,Singin' in the Rain,movie,103,1952,"Comedy, Musical, Romance","Gene Kelly, Stanley Donen"
386,Sky High,movie,58,1922,"Action, Drama, Romance, Western",Lynn Reynolds
387,Slacker,movie,97,1990,"Comedy, Drama",Richard Linklater
388,So's Your Old Man,movie,67,1926,"Comedy, Romance",Gregory La Cava
389,Some Like It Hot,movie,121,1959,"Comedy, Music, Romance",Billy Wilder
390,The Son of the Sheik,movie,68,1926,"Adventure, Drama, Romance",George Fitzmaurice
391,Sons of the Desert,movie,68,1933,"Comedy, Family, Music",William A. Seiter
392,The Sound of Music,movie,172,1965,"Biography, Drama, Family, Musical, Romance",Robert Wise
393,The Spook Who Sat by the Door,movie,102,1973,"Action, Drama, Crime",Ivan Dixon
394,Stagecoach,movie,96,1939,"Adventure, Drama, Western",John Ford
395,Stand and Deliver,movie,103,1988,"Biography, Drama",Ramón Menéndez
396,A Star Is Born,movie,154,1954,"Drama, Musical, Romance",George Cukor
397,Star Wars,movie,121,1977,"Action, Adventure, Fantasy, Sci-Fi",George Lucas
398,Stark Love,movie,70,1927,Drama,Karl Brown
399,State Fair,movie,99,1933,"Comedy, Drama, Music, Romance",Henry King
400,"Steamboat Bill, Jr.",movie,70,1928,"Action, Comedy, Drama, Family, Romance","Charles Reisner, Buster Keaton"
401,The Sting,movie,129,1973,"Comedy, Crime, Drama",George Roy Hill
402,Stormy Weather,movie,78,1943,"Comedy, Drama, Music, Romance",Andrew L. Stone
403,Story of G.I. Joe,movie,108,1945,"Biography, Drama, War",William A. Wellman
404,Stranger Than Paradise,movie,89,1984,"Comedy, Drama",Jim Jarmusch
405,A Streetcar Named Desire,movie,122,1951,Drama,Elia Kazan
406,The Strong Man,movie,75,1926,"Adventure, Comedy, Romance",Frank Capra
407,Sullivan's Travels,movie,90,1941,"Adventure, Comedy, Drama, Romance",Preston Sturges
408,Sunrise: A Song of Two Humans,movie,94,1927,"Drama, Romance",F.W. Murnau
409,Sunset Blvd.,movie,110,1950,"Drama, Film-Noir",Billy Wilder
410,Sweet Smell of Success,movie,96,1957,"Drama, Film-Noir",Alexander Mackendrick
411,Swing Time,movie,103,1936,"Comedy, Musical, Romance",George Stevens
412,Tabu: A Story of the South Seas,movie,86,1931,"Adventure, Drama, Romance",F.W. Murnau
413,The Tall T,movie,78,1957,Western,Budd Boetticher
414,Tarzan and His Mate,movie,104,1934,"Action, Adventure, Romance","Jack Conway, Cedric Gibbons, James C. McKay"
415,Taxi Driver,movie,114,1976,"Crime, Drama",Martin Scorsese
416,The Ten Commandments,movie,220,1956,"Adventure, Drama, Family, History",Cecil B. DeMille
417,The Terminator,movie,107,1984,"Action, Sci-Fi",James Cameron
418,Tess of the Storm Country,movie,80,1914,Drama,Edwin S. Porter
419,Tevya,movie,93,1939,Drama,Maurice Schwartz
420,Thelma & Louise,movie,130,1991,"Adventure, Crime, Drama",Ridley Scott
421,The Thief of Bagdad,movie,155,1924,"Adventure, Family, Fantasy, Romance",Raoul Walsh
422,The Thin Man,movie,91,1934,"Comedy, Crime, Mystery, Romance",W.S. Van Dyke
423,The Thing from Another World,movie,87,1951,"Horror, Sci-Fi","Christian Nyby, Howard Hawks"
424,This Is Spinal Tap,movie,82,1984,"Comedy, Music",Rob Reiner
425,To Be or Not to Be,movie,99,1942,"Comedy, Romance, War",Ernst Lubitsch
426,To Kill a Mockingbird,movie,129,1962,"Crime, Drama",Robert Mulligan
427,Tol'able David,movie,99,1921,Drama,Henry King
428,Tootsie,movie,116,1982,"Comedy, Drama, Romance",Sydney Pollack
429,Top Gun,movie,109,1986,"Action, Drama",Tony Scott
430,Top Hat,movie,101,1935,"Comedy, Musical, Romance",Mark Sandrich
431,Touch of Evil,movie,95,1958,"Crime, Drama, Film-Noir, Thriller",Orson Welles
432,Traffic in Souls,movie,88,1913,"Crime, Drama",George Loane Tucker
433,The Treasure of the Sierra Madre,movie,126,1948,"Adventure, Drama, Western",John Huston
434,A Tree Grows in Brooklyn,movie,129,1945,"Drama, Family, Romance",Elia Kazan
435,Trouble in Paradise,movie,83,1932,"Comedy, Crime, Romance",Ernst Lubitsch
436,Twelve O'Clock High,movie,132,1949,"Drama, War",Henry King
437,Twentieth Century,movie,91,1934,"Comedy, Romance",Howard Hawks
438,Two-Lane Blacktop,movie,102,1971,Drama,Monte Hellman
439,Uncle Tom's Cabin,movie,54,1914,Drama,William Robert Daly
440,Under Western Stars,movie,65,1938,"Adventure, Western",Joseph Kane
441,Unforgiven,movie,130,1992,"Drama, Western",Clint Eastwood
442,Unmasked,short,12,1917,"Short, Drama","Grace Cunard, Francis Ford"
443,Verbena trágica,movie,85,1938,Drama,Charles Lamont
444,Vertigo,movie,128,1958,"Mystery, Romance, Thriller",Alfred Hitchcock
445,A Virtuous Vamp,movie,50,1919,"Comedy, Romance",David Kirkland
446,A Walk in the Sun,movie,117,1945,"Drama, War",Lewis Milestone
447,The War of the Worlds,movie,85,1953,"Action, Sci-Fi, Thriller",Byron Haskin
448,The Wedding March,movie,113,1928,Drama,Erich von Stroheim
449,West Side Story,movie,153,1961,"Crime, Drama, Musical, Romance","Jerome Robbins, Robert Wise"
450,Where Are My Children?,movie,62,1916,Drama,"Phillips Smalley, Lois Weber"
451,White Heat,movie,114,1949,"Action, Crime, Drama, Film-Noir",Raoul Walsh
452,Who's Afraid of Virginia Woolf?,movie,131,1966,Drama,Mike Nichols
453,Wild and Woolly,movie,72,1917,"Comedy, Western, Romance",John Emerson
454,Wild Boys of the Road,movie,68,1933,"Adventure, Drama",William A. Wellman
455,The Wild Bunch,movie,145,1969,"Action, Adventure, Western",Sam Peckinpah
456,Wild River,movie,110,1960,"Drama, History, Romance",Elia Kazan
457,Will Success Spoil Rock Hunter?,movie,93,1957,"Comedy, Romance",Frank Tashlin
458,Willy Wonka & the Chocolate Factory,movie,100,1971,"Family, Fantasy, Musical",Mel Stuart
459,Winchester '73,movie,92,1950,"Action, Drama, Western",Anthony Mann
460,The Wind,movie,95,1928,"Drama, Romance, Thriller, Western",Victor Sjöström
461,Wings,movie,144,1927,"Drama, Romance, War, Action","Harry d'Abbadie d'Arrast, William A. Wellman"
462,The Wishing Ring: An Idyll of Old England,movie,54,1914,"Comedy, Drama, Romance",Maurice Tourneur
463,Within Our Gates,movie,79,1920,"Drama, Romance",Oscar Micheaux
464,The Wizard of Oz,movie,102,1939,"Adventure, Family, Fantasy, Musical","Mervyn LeRoy, George Cukor, Norman Taurog, King Vidor, Richard Thorpe, Victor Fleming"
465,Woman of the Year,movie,114,1942,"Comedy, Drama, Romance, Sport",George Stevens
466,A Woman Under the Influence,movie,155,1974,"Drama, Romance",John Cassavetes
467,The Women,movie,133,1939,"Comedy, Drama",George Cukor
468,Wuthering Heights,movie,104,1939,"Drama, Romance",William Wyler
469,Yankee Doodle Dandy,movie,126,1942,"Biography, Drama, Family, Music, Musical",Michael Curtiz
470,Young Frankenstein,movie,106,1974,Comedy,Mel Brooks
471,Young Mr. Lincoln,movie,100,1939,"Biography, Drama, History",John Ford
